route_id,latitude,longitude,speed,timestamp,id,direction,agency_name,agency_id,route_short_name,tip_id,trip_headsign
706,-34.58799,-58.4760056,4.722222,1683659504,8113,1,TRANSPORTES LINEA 123 S.A.C.I.,92,123A,49775-1,a La Boca
706,-34.5974,-58.54198,0,1683659504,8114,1,TRANSPORTES LINEA 123 S.A.C.I.,92,123A,49781-1,a La Boca
706,-34.60972,-58.57074,9.166666,1683659506,8116,1,TRANSPORTES LINEA 123 S.A.C.I.,92,123A,49784-1,a La Boca
705,-34.59054,-58.49795,0,1683659506,8118,0,TRANSPORTES LINEA 123 S.A.C.I.,92,123A,49549-1,a Villegas x Pergamino
705,-34.58783,-58.4936,8.055555,1683659506,8120,0,TRANSPORTES LINEA 123 S.A.C.I.,92,123A,49550-1,a Villegas x Pergamino
706,-34.60696,-58.5628853,0,1683659504,8121,1,TRANSPORTES LINEA 123 S.A.C.I.,92,123A,49783-1,a La Boca
706,-34.58603,-58.4906,7.777777,1683659506,8123,1,TRANSPORTES LINEA 123 S.A.C.I.,92,123A,49776-1,a La Boca
705,-34.60874,-58.59445,1.388888,1683659506,8126,0,TRANSPORTES LINEA 123 S.A.C.I.,92,123A,49542-1,a Villegas x Pergamino
691,-34.76523,-58.20656,0,1683659504,8133,0,EXPRESO QUILMES S.A.,62,98C,47688-1,5 a Villa España
1878,-34.64191,-58.443,6.111111,1683659504,8169,0,D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR,3,44A,127826-1,a Bcas. de Belgrano
544,-34.517,-58.7476654,6.944444,1683659504,8206,0,EXPRESO GENERAL SARMIENTO S.A.,65,176G,36537-1,I - José C Paz x Puerta 4
561,-34.49818,-58.7541656,10.5555553,1683659504,8208,1,EXPRESO GENERAL SARMIENTO S.A.,65,176Ñ,37047-1,a Retiro
552,-34.5378,-58.7181053,2.5,1683659506,8209,0,EXPRESO GENERAL SARMIENTO S.A.,65,176K,36837-1,a Villa Adelina x Est. Chilavert
69,-34.61758,-58.50279,0,1683659506,8211,0,COLECTIVEROS UNIDOS S.A.,29,106A,6949-1,a Ruta 36 y 460
561,-34.57301,-58.4881744,10,1683659504,8212,1,EXPRESO GENERAL SARMIENTO S.A.,65,176Ñ,37046-1,a Retiro
559,-34.50749,-58.80168,0,1683659504,8213,1,EXPRESO GENERAL SARMIENTO S.A.,65,176N,37019-1,a Chacarita
532,-34.56183,-58.68059,5,1683659504,8215,0,EXPRESO GENERAL SARMIENTO S.A.,65,176B,35950-1,a Loma Hermosa
559,-34.52204,-58.73974,0.555555,1683659504,8218,1,EXPRESO GENERAL SARMIENTO S.A.,65,176N,37019-1,a Chacarita
553,-34.40608,-58.7700348,1.111111,1683659506,8226,1,EXPRESO GENERAL SARMIENTO S.A.,65,176K,36859-1,a Chacarita
540,-34.47054,-58.75865,0,1683659504,8227,0,EXPRESO GENERAL SARMIENTO S.A.,65,176F,36228-1,F - Fonavi x Constitución y Acc. Norte
532,-34.5762,-58.4768,5,1683659504,8229,0,EXPRESO GENERAL SARMIENTO S.A.,65,176B,35952-1,a Loma Hermosa
1883,-34.44384,-58.7864952,3.055555,1683659506,8231,1,EXPRESO GENERAL SARMIENTO S.A.,65,176A,128561-1,A - Chacarita x Puerta 4
534,-34.56224,-58.58872,8.055555,1683659506,8232,0,EXPRESO GENERAL SARMIENTO S.A.,65,176C,36034-1,E - Est. Tortuguitas x Puerta 4 y Cura Brochero
534,-34.521,-58.7410545,0,1683659504,8233,0,EXPRESO GENERAL SARMIENTO S.A.,65,176C,36033-1,E - Est. Tortuguitas x Puerta 4 y Cura Brochero
541,-34.469,-58.7599945,9.166666,1683659504,8234,1,EXPRESO GENERAL SARMIENTO S.A.,65,176F,36273-1,F - Chacarita x Constitución y Acc. Norte
559,-34.50953,-58.80476,3.611111,1683659504,8235,1,EXPRESO GENERAL SARMIENTO S.A.,65,176N,37019-1,a Chacarita
545,-34.56279,-58.608326,0,1683659504,8236,1,EXPRESO GENERAL SARMIENTO S.A.,65,176G,36600-1,I - Gral. Paz y Constituyentes x Puerta 4
70,-34.62175,-58.5088348,0,1683659504,8243,1,COLECTIVEROS UNIDOS S.A.,29,106A,7272-1,a Est. - 40 y 115
554,-34.46567,-58.802166,13.333333,1683659504,8247,0,EXPRESO GENERAL SARMIENTO S.A.,65,176L,36878-1,N - Est. Juan Vucetich x Puerta 4
561,-34.45417,-58.83894,12.2222223,1683659504,8265,1,EXPRESO GENERAL SARMIENTO S.A.,65,176Ñ,37047-1,a Retiro
534,-34.57877,-58.4648,8.888888,1683659504,8267,0,EXPRESO GENERAL SARMIENTO S.A.,65,176C,36035-1,E - Est. Tortuguitas x Puerta 4 y Cura Brochero
540,-34.57801,-58.47962,3.055555,1683659504,8268,0,EXPRESO GENERAL SARMIENTO S.A.,65,176F,36231-1,F - Fonavi x Constitución y Acc. Norte
539,-34.55186,-58.6748657,5,1683659504,8269,1,EXPRESO GENERAL SARMIENTO S.A.,65,176E,36193-1,a Chacarita
560,-34.54149,-58.71308,0,1683659444,8270,0,EXPRESO GENERAL SARMIENTO S.A.,65,176Ñ,37036-1,a Villegas
538,-34.47822,-58.7468262,5.833333,1683659504,8272,0,EXPRESO GENERAL SARMIENTO S.A.,65,176E,36162-1,a B° San Isidro
716,-34.16508,-58.960434,1.111111,1683659504,8275,1,LA NUEVA METROPOL S.A.,9,228AC,50949-1,Ramal B - Munro x Eduardo Sivori
2086,-34.44959,-58.69854,13.0555553,1683659504,8276,1,LA NUEVA METROPOL S.A.,9,194A,147379-1,a Pza. Miserere
561,-34.45807,-58.9091339,0,1683659504,8278,1,EXPRESO GENERAL SARMIENTO S.A.,65,176Ñ,37048-1,a Retiro
2076,-34.17837,-58.9618,6.944444,1683659502,8279,1,LA NUEVA METROPOL S.A.,9,194G,146839-1,Expreso - Pza. Miserere
1883,-34.51277,-58.738205,0,1683659504,8281,1,EXPRESO GENERAL SARMIENTO S.A.,65,176A,128559-1,A - Chacarita x Puerta 4
561,-34.50016,-58.74976,13.0555553,1683659504,8287,1,EXPRESO GENERAL SARMIENTO S.A.,65,176Ñ,37047-1,a Retiro
532,-34.48472,-58.77534,11.3888884,1683659504,8292,0,EXPRESO GENERAL SARMIENTO S.A.,65,176B,35948-1,a Loma Hermosa
2081,-34.53873,-58.47645,11.666666,1683659504,8295,0,LA NUEVA METROPOL S.A.,9,194H,147054-1,a Est. Escobar
541,-34.57861,-58.5384941,6.944444,1683659504,8296,1,EXPRESO GENERAL SARMIENTO S.A.,65,176F,36271-1,F - Chacarita x Constitución y Acc. Norte
540,-34.54537,-58.7078,1.111111,1683659504,8297,0,EXPRESO GENERAL SARMIENTO S.A.,65,176F,36229-1,F - Fonavi x Constitución y Acc. Norte
1883,-34.38426,-58.75768,10.2777767,1683659504,8298,1,EXPRESO GENERAL SARMIENTO S.A.,65,176A,128561-1,A - Chacarita x Puerta 4
539,-34.52522,-58.73536,8.055555,1683659504,8320,1,EXPRESO GENERAL SARMIENTO S.A.,65,176E,36193-1,a Chacarita
554,-34.48077,-58.7791061,15.5555553,1683659504,8321,0,EXPRESO GENERAL SARMIENTO S.A.,65,176L,36878-1,N - Est. Juan Vucetich x Puerta 4
2085,-34.20122,-58.9371452,9.722222,1683659504,8328,0,LA NUEVA METROPOL S.A.,9,194A,147319-1,a Zarate x RP 6
715,-34.12955,-59.0139656,0,1683659504,8329,0,LA NUEVA METROPOL S.A.,9,228AC,50903-1,a Avellaneda
1883,-34.50791,-58.7324944,0,1683652696,8331,1,EXPRESO GENERAL SARMIENTO S.A.,65,176A,128555-1,A - Chacarita x Puerta 4
558,-34.55666,-58.6576653,7.777777,1683659504,8340,0,EXPRESO GENERAL SARMIENTO S.A.,65,176N,36986-1,a San Martin
2081,-34.59706,-58.40322,0,1683659504,8341,0,LA NUEVA METROPOL S.A.,9,194H,147064-1,a Est. Escobar
2081,-34.51079,-58.52492,17.7777767,1683659504,8345,0,LA NUEVA METROPOL S.A.,9,194H,147058-1,a Est. Escobar
2081,-34.39524,-58.73964,0,1683659508,8347,0,LA NUEVA METROPOL S.A.,9,194H,147049-1,a Est. Escobar
561,-34.50876,-58.72891,0,1683659504,8350,1,EXPRESO GENERAL SARMIENTO S.A.,65,176Ñ,37047-1,a Retiro
2081,-34.46467,-58.6864052,22.7777767,1683659504,8352,0,LA NUEVA METROPOL S.A.,9,194H,147053-1,a Est. Escobar
1882,-34.40476,-58.769146,1.388888,1683659478,8353,0,EXPRESO GENERAL SARMIENTO S.A.,65,176A,128509-1,A - Est. Escobar (ex Linea Mitre) x Puerta 4
2075,-34.33855,-58.816185,0,1683659504,8355,0,LA NUEVA METROPOL S.A.,9,194G,146809-1,a Zarate
554,-34.4678,-58.799015,2.222222,1683659504,8357,0,EXPRESO GENERAL SARMIENTO S.A.,65,176L,36878-1,N - Est. Juan Vucetich x Puerta 4
558,-34.56589,-58.56476,5,1683659504,8358,0,EXPRESO GENERAL SARMIENTO S.A.,65,176N,36986-1,a San Martin
1715,-34.58079,-58.4217,0,1683659478,8359,0,LA NUEVA METROPOL S.A.,9,194F,114700-1,a Est. Escobar
2082,-34.5023,-58.54288,21.3888874,1683659504,8362,1,LA NUEVA METROPOL S.A.,9,194H,147231-1,a Expreso - Pza. Miserere
559,-34.58012,-58.54448,1.111111,1683659504,8364,1,EXPRESO GENERAL SARMIENTO S.A.,65,176N,37017-1,a Chacarita
2075,-34.34878,-58.8066139,8.055555,1683659504,8366,0,LA NUEVA METROPOL S.A.,9,194G,146810-1,a Zarate
561,-34.51668,-58.7469749,7.777777,1683659504,8369,1,EXPRESO GENERAL SARMIENTO S.A.,65,176Ñ,37047-1,a Retiro
2086,-34.3951,-58.7407951,0.555555,1683659504,8373,1,LA NUEVA METROPOL S.A.,9,194A,147379-1,a Pza. Miserere
1714,-34.55761,-58.4605751,9.722222,1683659504,8379,1,LA NUEVA METROPOL S.A.,9,194E,114644-1,Expreso - Pza. Miserere
2076,-34.48456,-58.62116,16.9444447,1683659504,8381,1,LA NUEVA METROPOL S.A.,9,194G,146836-1,Expreso - Pza. Miserere
541,-34.47916,-58.7712746,2.5,1683659504,8383,1,EXPRESO GENERAL SARMIENTO S.A.,65,176F,36273-1,F - Chacarita x Constitución y Acc. Norte
1883,-34.5794,-58.5374146,1.666666,1683659504,8385,1,EXPRESO GENERAL SARMIENTO S.A.,65,176A,128556-1,A - Chacarita x Puerta 4
2085,-34.59434,-58.4057541,0,1683659504,8387,0,LA NUEVA METROPOL S.A.,9,194A,147323-1,a Zarate x RP 6
1714,-34.47522,-58.6658058,0,1683659504,8388,1,LA NUEVA METROPOL S.A.,9,194E,114646-1,Expreso - Pza. Miserere
1713,-34.3438,-58.81151,13.0555553,1683659504,8389,0,LA NUEVA METROPOL S.A.,9,194E,114585-1,a Zarate
561,-34.50424,-58.74,2.222222,1683659504,8395,1,EXPRESO GENERAL SARMIENTO S.A.,65,176Ñ,37047-1,a Retiro
553,-34.50793,-58.73296,3.611111,1683652064,8398,1,EXPRESO GENERAL SARMIENTO S.A.,65,176K,36856-1,a Chacarita
557,-34.50688,-58.7334061,0,1683659478,8400,1,EXPRESO GENERAL SARMIENTO S.A.,65,176M,36957-1,í‘ - Chacarita x Puerta 4
1714,-34.57753,-58.4285545,11.666666,1683659504,8401,1,LA NUEVA METROPOL S.A.,9,194E,114642-1,Expreso - Pza. Miserere
1715,-34.53862,-58.47439,10.5555553,1683659504,8402,0,LA NUEVA METROPOL S.A.,9,194F,114699-1,a Est. Escobar
559,-34.58091,-58.46952,9.722222,1683659504,8403,1,EXPRESO GENERAL SARMIENTO S.A.,65,176N,37016-1,a Chacarita
